'	@quote@							
'	@quote@							
Kusāvatī	proper noun	nominative	singular	feminine				
,	@comma@							
ānanda	proper noun	vocative	singular	masculine				
,	@comma@							
rājadhānī	noun	nominative	singular	feminine				
sattahi	numeral	instrumental	plural	masculine				
pākārehi	noun	instrumental	plural	masculine				
parikkhittā	past participle	nominative	singular	feminine				
ahosi	verb		singular		third person	aorist	indicative	active
.	@point@							
Eko	numeral	nominative	singular	masculine				
pākāro	noun	nominative	singular	masculine				
sovaṇṇamayo	adjective	nominative	singular	masculine				
,	@comma@							
eko	numeral	nominative	singular	masculine				
rūpiyamayo	adjective	nominative	singular	masculine				
,	@comma@							
eko	numeral	nominative	singular	masculine				
veḷuriyamayo	adjective	nominative	singular	masculine				
,	@comma@							
eko	numeral	nominative	singular	masculine				
phalikamayo	adjective	nominative	singular	masculine				
,	@comma@							
eko	numeral		singular	masculine				
lohitaṅkamayo	adjective	nominative	singular	masculine				
,	@comma@							
eko	numeral	nominative	singular	masculine				
masāragallamayo	adjective	nominative	singular	masculine				
,	@comma@							
eko	numeral	nominative	singular	masculine				
sabbaratanamayo	adjective	nominative	singular	masculine				
.	@point@							
bla	bbb																
Kusāvatiyā	proper noun	genitive	singular	feminine				
,	@comma@							
ānanda	proper noun	vocative	singular	masculine				
,	@comma@							
rājadhāniyā	noun	genitive	singular	feminine				
catunnaṃ	numeral	genitive	plural	masculine				
vaṇṇānaṃ	adjective	genitive	plural	masculine				
dvārāni	noun	nominative	plural	neuter				
ahesuṃ	verb		plural		third person	aorist	indicative	active
.	@point@							
Rājā	noun	nominative	singular	masculine				
,	@comma@							
ānanda	proper noun	vocative	singular	masculine				
,	@comma@							
mahāsudassano	proper noun	nominative	singular	masculine				
imāya	demonstrative pronoun	instrumental	singular	masculine				
dutiyāya	ordinal adjective	instrumental	singular	masculine				
iddhiyā	noun	instrumental	singular	masculine				
samannāgato	adjective	nominative	singular	masculine				
ahosi	verb		singular		third person	aorist	indicative	active
.	@point@							
Rājā	noun	nominative	singular	masculine				
,	@comma@							
ānanda	proper noun	vocative	singular	masculine				
,	@comma@							
mahāsudassano	proper noun	nominative	singular	masculine				
imāya	demonstrative pronoun	instrumental	singular	masculine				
tatiyāya	ordinal adjective	instrumental	singular	masculine				
iddhiyā	noun	instrumental	singular	masculine				
samannāgato	adjective	nominative	singular	masculine				
ahosi	verb		singular		third person	aorist	indicative	active
.	@point@							
Rūpiyamayassa	adjective	genitive	singular	neuter				
kūṭāgārassa	noun	genitive	singular	neuter				
dvāre	noun	locative	singular	neuter				
sovaṇṇamayo	adjective	nominative	singular	masculine				
tālo	noun	nominative	singular	masculine				
ṭhito	past participle	nominative	singular	masculine				
ahosi	verb		singular		third person	aorist	indicative	active
,	@comma@							
tassa	pronoun	genitive	singular	masculine				
sovaṇṇamayo	adjective	nominative	singular	masculine				
khandho	noun	nominative	singular	masculine				
,	@comma@							
rūpiyamayāni	adjective	nominative	plural	neuter				
pattāni	noun	nominative	plural	neuter				
ca	coordinative conjunciton							
phalāni	noun	nominative	plural	neuter				
ca	coordinative conjunciton							
.	@point@							
Taṃ	personal pronoun	accusative	singular	masculine				
devo	noun	nominative	singular	masculine				
pakudhaṃ	proper noun	accusative	singular	masculine				
kaccāyanaṃ	proper noun	accusative	singular	masculine				
payirupāsatu	verb		singular		third person	present	imperative	active
.	@point@							
Taṃ	pronoun	accusative	singular	masculine				
devo	noun	nominative	singular	masculine				
bhagavantaṃ	noun	accusative	singular	masculine				
payirupāsatu	verb		singular		third person	present	indicative	active
.	@point@							
Natthi	verb		singular		third person	present	indicative	active
hetu	noun	nominative	singular	masculine				
,	@comma@							
natthi	verb		singular		first person	present	indicative	active
paccayo	noun	nominative	singular	masculine				
sattānaṃ	noun	genitive	plural	masculine				
visuddhiyā	noun	genitive	singular	feminine				
,	@comma@							
ahetū	noun	ablative	singular	masculine				
apaccayā	noun	ablative	singular	masculine				
sattā	noun	nominative	plural	masculine				
visujjhanti	verb		plural		third person	present	indicative	passive
.	@point@							
So	personal pronoun	nominative	singular	masculine	third person			
taṃ	pronoun	accusative	singular	masculine				
dhammaṃ	noun	accusative	singular	masculine				
sutvā	absolutive							
tathāgate	noun	locative	singular	masculine				
