text	part of speech

napi	@sandhi@
na	negation_particle
pi	coordinative_conjunciton
kira	emphatic_particle
tevijjānaṃ	adjective
brāhmaṇānaṃ	noun
ācariyapācariyehi	noun
brahmā	proper_noun
sakkhidiṭṭho	past_passive_participle
.	@point@

ayaṃ	demonstrative_pronoun
tatiyā	ordinal_adjective
dassanasamāpatti	noun
.	@point@

pāvisi	verb
ambaṭṭho	proper_noun
māṇavo	noun
.	@point@

evaṃ	demonstrative_adverb
me	pronoun
sutaṃ	past_participle
ekaṃ	cardinal_adjecitve
samayaṃ	noun
bhagavā	noun
nāḷandāyaṃ	proper_noun
viharati	verb
pāvārikambavane	proper_noun
.	@point@

eko	numeral
pākāro	noun
sovaṇṇamayo	adjective
,	@comma@
eko	numeral
rūpiyamayo	adjective
,	@comma@
eko	numeral
veḷuriyamayo	adjective
,	@comma@
eko	numeral
phalikamayo	adjective
,	@comma@
eko	numeral
lohitaṅkamayo	adjective
,	@comma@
eko	numeral
masāragallamayo	adjective
,	@comma@
eko	numeral
sabbaratanamayo	adjective
.	@point@

yattha	preposition
kho	emphatic_particle
pana	conjunction
bhagavato	noun
sambodhi	noun
magadhesu	proper_noun
,	@comma@
kathaṃ	interrogative_adverb
tatra	preposition
bhagavā	noun
māgadhake	proper_noun
paricārake	noun
abbhatīte	past_passive_participle
kālaṅkate	past_passive_participle
upapattīsu	noun
na	negation_particle
byākareyya	verb
.	@point@

'	@quote@
'	@quote@
so	pronoun
tehi	pronoun
lakkhaṇehi	noun
samannāgato	past_passive_participle
sace	conjunction
agāraṃ	noun
ajjhāvasati	verb
,	@comma@
rājā	noun
hoti	verb
cakkavattī	noun
dhammiko	adjective
dhammarājā	noun
cāturanto	adjective
vijitāvī	adjective
janapadatthāvariyappatto	past_passive_participle
sattaratanasamannāgato	past_passive_participle
.	@point@

pathaviyāpi	@sandhi@
pathaviyā	noun
api	coordinative_conjunciton
ummujjanimujjaṃ	noun
karoti	verb
,	@comma@
seyyathā	adverb
pi	coordinative_conjunciton
udake	noun
.	@point@

cakkhuviññeyyā	future_passive_participle
rūpā	adjective
iṭṭhā	past_passive_participle
kantā	past_passive_participle
manāpā	adjective
piyarūpā	adjective
kāmūpasaṃhitā	past_active_participle
rajanīyā	noun
.	@point@

tena	pronoun
ca	coordinative_conjunciton
nātikiyā	proper_noun
paricārakā	noun
attamanā	adjective
ahesuṃ	verb
pamuditā	past_passive_participle
pītisomanassajātā	past_passive_participle
bhagavato	noun
pañhaveyyākaraṇaṃ	noun
sutvā	absolutive
.	@point@

te	personal_pronoun
paṭhamepi	@sandhi@
paṭhame	ordinal_adjective
pi	coordinative_conjunciton
satthavāse	noun
na	negation_particle
addasaṃsu	verb
tiṇaṃ	noun
vā	coordinative_conjunciton
kaṭṭhaṃ	noun
vā	coordinative_conjunciton
udakaṃ	noun
vā	coordinative_conjunciton
.	@point@

adhivāsesi	verb
bhagavā	noun
tuṇhībhāvena	noun
.	@point@

'	@quote@
'	@quote@
kittāvatā	adverb
ca	coordinative_conjunciton
,	@comma@
ānanda	proper_noun
,	@comma@
attānaṃ	noun
na	negation_particle
paññapento	present_active_participle
na	negation_particle
paññapeti	verb
.	@point@

upāsakaṃ	noun
maṃ	personal_pronoun
bhavaṃ	noun
gotamo	proper_noun
dhāretu	verb
ajjatagge	noun
pāṇupetaṃ	past_participle
saraṇaṃ	noun
gataṃ	past_participle
adhivāsetu	verb
ca	coordinative_conjunciton
me	personal_pronoun
bhavaṃ	noun
gotamo	proper_noun
svātanāya	noun
bhattaṃ	noun
saddhiṃ	adverb
bhikkhusaṅghenā	noun
ti	quotation_particle
.	@point@

yāni	relative_pronoun
tāni	pronoun
samaṇārahāni	adjective
samaṇaṅgāni	adjective
samaṇūpabhogāni	adjective
samaṇānucchavikāni	adjective
,	@comma@
tāni	pronoun
khippaṃ	adverb
paṭilabhati	verb
.	@point@

