text	part of speech

cittasamādhippadhānasaṅkhārasamannāgataṃ	past_passive_participle
iddhipādaṃ	noun
bhāveti	verb
.	@point@

naccagītavāditavisūkadassanā	noun
paṭivirato	past_passive_participle
hoti	verb
.	@point@

ettāvatā	adverb
kho	emphatic_particle
,	@comma@
ānanda	proper_noun
,	@comma@
jāyetha	verb
vā	coordinative_conjunciton
jīyetha	verb
vā	coordinative_conjunciton
mīyetha	verb
vā	coordinative_conjunciton
cavetha	verb
vā	coordinative_conjunciton
upapajjetha	verb
vā	coordinative_conjunciton
.	@point@

tassa	pronoun
te	personal_pronoun
mayaṃ	personal_pronoun
ariyaṃ	adjective
cakkavattivattaṃ	noun
puṭṭhā	past_passive_participle
byākarissāmā	verb
ti	quotation_particle
.	@point@

atikkamma	absolutive
ca	coordinative_conjunciton
purisassa	noun
chavimaṃsalohitaṃ	noun
aṭṭhiṃ	noun
paccavekkhati	verb
.	@point@

yattha	preposition
kho	emphatic_particle
pana	conjunction
,	@comma@
bhante	noun
,	@comma@
bhagavato	noun
sambodhi	noun
magadhesu	proper_noun
,	@comma@
kathaṃ	interrogative_adverb
tatra	preposition
bhagavā	noun
māgadhake	proper_noun
paricārake	noun
abbhatīte	past_passive_participle
kālaṅkate	past_passive_participle
upapattīsu	noun
na	negation_particle
byākareyya	verb
.	@point@

te	pronoun
atīradakkhiniyā	adjective
nāvāya	noun
tīradassiṃ	adjective
sakuṇaṃ	noun
muñcanti	verb
.	@point@

buddho	noun
samāno	noun
idaṃ	demonstrative_pronoun
labhati	verb
etamatthaṃ	@sandhi@
etaṃ	demonstrative_pronoun
atthaṃ	noun
bhagavā	noun
avoca	verb
.	@point@

tena	pronoun
kho	emphatic_particle
pana	conjunction
samayena	noun
jīvako	proper_noun
komārabhacco	noun
rañño	noun
māgadhassa	proper_noun
ajātasattussa	proper_noun
vedehiputtassa	proper_noun
avidūre	noun
tuṇhībhūto	past_participle
nisinno	past_participle
hoti	verb
.	@point@

rājā	noun
samāno	present_active_participle
idaṃ	demonstrative_pronoun
labhati	verb
buddho	noun
samāno	present_active_participle
kiṃ	interrogative_pronoun
labhati	verb
.	@point@

brahmānaṃ	proper_noun
cāhaṃ	@sandhi@
,	@comma@
vāseṭṭha	proper_noun
,	@comma@
pajānāmi	verb
brahmalokañca	@sandhi@
brahmalokagāminiñca	@sandhi@
paṭipadaṃ	noun
,	@comma@
yathā	adverb
paṭipanno	past_passive_participle
ca	coordinative_conjunciton
brahmalokaṃ	proper_noun
upapanno	past_passive_participle
,	@comma@
tañca	@sandhi@
pajānāmī	verb
ti	quotation_particle
.	@point@

so	pronoun
aparena	adjective
samayena	noun
ariyadhammaṃ	noun
suṇāti	verb
,	@comma@
yoniso	noun
manasi	noun
karoti	verb
,	@comma@
dhammānudhammaṃ	noun
paṭipajjati	verb
.	@point@

te	personal_pronoun
taṃ	personal_pronoun
purisaṃ	noun
odhunanti	verb
sandhunanti	verb
niddhunanti	verb
.	@point@

gambhīro	adjective
cāyaṃ	@sandhi@
ca	coordinative_conjunciton
ayaṃ	demonstrative_pronoun
,	@comma@
ānanda	proper_noun
,	@comma@
paṭiccasamuppādo	noun
gambhīrāvabhāso	noun
ca	coordinative_conjunciton
.	@point@

ayaṃ	demonstrative_pronoun
paṭhamā	ordinal_adjective
viññāṇaṭṭhiti	noun
.	@point@

ayaṃ	demonstrative_pronoun
bho	noun
puriso	noun
neva	@sandhi@
na	negation_particle
eva	emphatic_particle
amhākaṃ	personal_pronoun
mitto	noun
,	@comma@
na	negation_particle
ñātisālohito	noun
,	@comma@
kathaṃ	interrogative_adverb
mayaṃ	personal_pronoun
imassa	demonstrative_pronoun
saddhāya	noun
gamissāma	verb
.	@point@

ayaṃ	demonstrative_pronoun
dutiyā	ordinal_adjective
dassanasamāpatti	noun
.	@point@

te	personal_pronoun
ca	coordinative_conjunciton
sattā	noun
sandhāvanti	verb
saṃsaranti	verb
cavanti	verb
upapajjanti	verb
,	@comma@
atthitveva	@sandhi@
sassatisama	@sandhi@
nti	@sandhi@
.	@point@

sace	conjunction
agāraṃ	noun
ajjhāvasati	verb
,	@comma@
rājā	noun
hoti	verb
cakkavattī	noun
dhammiko	adjective
dhammarājā	noun
cāturanto	adjective
vijitāvī	adjective
janapadatthāvariyappatto	past_passive_participle
sattaratanasamannāgato	past_passive_participle
.	@point@

rūpiyamayassa	adjective
kūṭāgārassa	noun
dvāre	noun
sovaṇṇamayo	adjective
tālo	noun
ṭhito	past_passive_participle
ahosi	verb
,	@comma@
tassa	pronoun
sovaṇṇamayo	adjective
khandho	noun
,	@comma@
rūpiyamayāni	adjective
pattāni	noun
ca	coordinative_conjunciton
phalāni	noun
ca	coordinative_conjunciton
.	@point@

ayyaputtā	noun
kira	emphatic_particle
,	@comma@
bho	noun
,	@comma@
ambaṭṭhassa	proper_noun
māṇavassa	noun
sakyā	proper_noun
bhavanti	verb
.	@point@

natthi	@sandhi@
samavisamaṃ	noun
,	@comma@
na	negation_particle
atthi	verb
samavisamassa	noun
dassāvī	noun
.	@point@

upāsakaṃ	noun
maṃ	personal_pronoun
bhagavā	noun
dhāretu	verb
ajjatagge	adverb
pāṇupetaṃ	past_participle
saraṇaṃ	noun
gataṃ	past_participle
.	@point@

na	negation_particle
atthi	verb
mañjiṭṭhakāni	adjective
rūpāni	noun
,	@comma@
na	negation_particle
atthi	verb
mañjiṭṭhakānaṃ	adjective
rūpānaṃ	noun
dassāvī	noun
.	@point@

sā	personal_pronoun
attānaṃ	noun
ceva	@sandhi@
jīvitañca	@sandhi@
