text	part of speech

'	@quote@
'	@quote@
Kusāvatī	proper noun
,	@comma@
ānanda	proper noun
,	@comma@
rājadhānī	noun
sattahi	numeral
pākārehi	noun
parikkhittā	past participle
ahosi	verb
.	@point@

Eko	numeral
pākāro	noun
sovaṇṇamayo	adjective
,	@comma@
eko	numeral
rūpiyamayo	adjective
,	@comma@
eko	numeral
veḷuriyamayo	adjective
,	@comma@
eko	numeral
phalikamayo	adjective
,	@comma@
eko	numeral
lohitaṅkamayo	adjective
,	@comma@
eko	numeral
masāragallamayo	adjective
,	@comma@
eko	numeral
sabbaratanamayo	adjective
.	@point@

Kusāvatiyā	proper noun
,	@comma@
ānanda	proper noun
,	@comma@
rājadhāniyā	noun
catunnaṃ	numeral
vaṇṇānaṃ	adjective
dvārāni	noun
ahesuṃ	verb
.	@point@

Rājā	noun
,	@comma@
ānanda	proper noun
,	@comma@
mahāsudassano	proper noun
imāya	demonstrative pronoun
dutiyāya	ordinal adjective
iddhiyā	noun
samannāgato	adjective
ahosi	verb
.	@point@

Rājā	noun
,	@comma@
ānanda	proper noun
,	@comma@
mahāsudassano	proper noun
imāya	demonstrative pronoun
tatiyāya	ordinal adjective
iddhiyā	noun
samannāgato	adjective
ahosi	verb
.	@point@

Rūpiyamayassa	adjective
kūṭāgārassa	noun
dvāre	noun
sovaṇṇamayo	adjective
tālo	noun
ṭhito	past passive participle
ahosi	verb
,	@comma@
tassa	pronoun
sovaṇṇamayo	adjective
khandho	noun
,	@comma@
rūpiyamayāni	adjective
pattāni	noun
ca	coordinative conjunciton
phalāni	noun
ca	coordinative conjunciton
.	@point@

Veḷuriyamayassa	adjective
kūṭāgārassa	noun
dvāre	noun
phalikamayo	adjective
tālo	noun
ṭhito	past passive participle
ahosi	verb
,	@comma@
tassa	pronoun
phalikamayo	adjective
khandho	noun
,	@comma@
veḷuriyamayāni	adjective
pattāni	noun
ca	coordinative conjunciton
phalāni	noun
ca	coordinative conjunciton
.	@point@

Evaṃ	demonstrative adverb
aniccā	adjective
kho	emphatic particle
,	@comma@
ānanda	proper noun
,	@comma@
saṅkhārā	noun
;	@semicolon@
evaṃ	demonstrative adverb
addhuvā	adjective
kho	emphatic particle
	@comma@
ānanda	proper noun
,	@comma@
saṅkhārā	noun
;	@semicolon@
evaṃ	demonstrative adverb
anassāsikā	adjective
kho	emphatic particle
,	@comma@
ānanda	proper noun
,	@comma@
saṅkhārā	noun
.	@point@

Evaṃ	demonstrative adverb
vutte	past participle
,	@comma@
rājā	noun
māgadho	proper noun
ajātasattu	proper noun
vedehiputto	proper noun
tuṇhī	adjective
ahosi	verb
.	@point@

Taṃ	personal pronoun
devo	noun
pakudhaṃ	proper noun
kaccāyanaṃ	proper noun
payirupāsatu	verb
.	@point@

Tena	pronoun
kho	emphatic particle
pana	conjunction
samayena	noun
jīvako	proper noun
komārabhacco	noun
rañño	noun
māgadhassa	proper noun
ajātasattussa	proper noun
vedehiputtassa	proper noun
avidūre	noun
tuṇhībhūto	past participle
nisinno	past participle
hoti	verb
.	@point@

Taṃ	pronoun
devo	noun
bhagavantaṃ	noun
payirupāsatu	verb
.	@point@

Natthi	verb
hetu	noun
,	@comma@
natthi	verb
paccayo	noun
sattānaṃ	noun
visuddhiyā	noun
,	@comma@
ahetū	noun
apaccayā	noun
sattā	noun
visujjhanti	verb
.	@point@

Sammodanīyaṃ	adjective
kathaṃ	interrogative adverb
sāraṇīyaṃ	adjective
vītisāretvā	absolutive
ekamantaṃ	@sandhi@
nisīdiṃ	verb
.	@point@

So	pronoun
taṃ	pronoun
dhammaṃ	noun
sutvā	absolutive
tathāgate	noun
saddhaṃ	noun
paṭilabhati	verb
.	@point@

So	pronoun
tena	pronoun
saddhāpaṭilābhena	noun
samannāgato	past participle
iti	quotation particle
paṭisañcikkhati	verb
'	@quote@
sambādho	noun
gharāvāso	noun
rajopatho	noun
,	@comma@
abbhokāso	noun
pabbajjā	noun
.	@point@

Naccagītavāditavisūkadassanā	noun
paṭivirato	past passive participle
hoti	verb
.	@point@

Mālāgandhavilepanadhāraṇamaṇḍanavibhūsanaṭṭhānā	noun
paṭivirato	past passive participle
hoti	verb
.	@point@

Uccāsayanamahāsayanā	noun
paṭivirato	past passive participle
hoti	verb
.	@point@

Upāsakaṃ	noun
maṃ	personal pronoun
bhagavā	noun
dhāretu	verb
ajjatagge	adverb
pāṇupetaṃ	past participle
saraṇaṃ	noun
gataṃ	past participle
.	@point@

Evaṃ	demonstrative adverb
me	personal pronoun
sutaṃ	past participle
ekaṃ	numeral
samayaṃ	noun
bhagavā	noun
kosambiyaṃ	proper noun
viharati	verb
ghositārāme	proper noun
.	@point@

Sammodanīyaṃ	adjective
kathaṃ	interrogative adverb
sāraṇīyaṃ	adjective
vītisāretvā	absolutive
ekamantaṃ	@sandhi@
aṭṭhaṃsu	verb
.	@point@

Ye	relative pronoun
kho	emphatic particle
pana	conjunction
,	@comma@
bho	noun
,	@comma@
keci	indefinite pronoun
samaṇā	noun
vā	coordinative conjunciton
brāhmaṇā	noun
vā	coordinative conjunciton
amhākaṃ	personal pronoun
gāmakhettaṃ	noun
āgacchanti	verb
atithī	noun
no	personal pronoun
te	demonstrative personal pronoun
honti	verb
.	@point@

Adhivāsesi	verb
bhagavā	noun
tuṇhībhāvena	noun
.	@point@

Yattha	preposition
sīlaṃ	noun
tattha	preposition
paññā	noun
,	@comma@
yattha	preposition
paññā	noun
tattha	preposition
sīlaṃ	noun
.	@point@

Upāsakaṃ	noun
maṃ	personal pronoun
bhavaṃ	noun
gotamo	proper noun
dhāretu	verb
ajjatagge	noun
pāṇupetaṃ	past participle
saraṇaṃ	noun
gataṃ	past participle
Adhivāsetu	verb
ca	coordinative conjunciton
me	personal pronoun
bhavaṃ	noun
gotamo	proper noun
svātanāya	noun
bhattaṃ	noun
saddhiṃ	adverb
bhikkhusaṅghenā	noun
ti	quotation particle
.	@point@

Atha	coordinative conjunciton
kho	emphatic particle
soṇadaṇḍo	proper noun
brāhmaṇo	noun
bhagavantaṃ	noun
bhuttāviṃ	past active participle
onītapattapāṇiṃ	adjective
aññataraṃ	adjective
nīcaṃ	adjective
āsanaṃ	noun
gahetvā	absolutive
ekamantaṃ	@sandhi@
nisīdi	verb
.	@point@

Tassa	pronoun
te	personal pronoun
mayaṃ	personal pronoun
ariyaṃ	adjective
cakkavattivattaṃ	noun
puṭṭhā	past passive participle
byākarissāmā	verb
ti	quotation particle
.	@point@

Gahetvā	absolutive
rañño	noun
khattiyassa	noun
muddhābhisittassa	past passive participle
dassesuṃ	verb
'	@quote@
ayaṃ	demonstrative pronoun
,	@comma@
deva	noun
,	@comma@
puriso	noun
paresaṃ	adjective
adinnaṃ	past passive participle
theyyasaṅkhātaṃ	past passive participle
ādiyī	verb
ti	quotation particle
.	@point@

'	@quote@
'	@quote@
Atha	coordinative conjunciton
kho	emphatic particle
tesaṃ	personal pronoun
,	@comma@
bhikkhave	noun
,	@comma@
sattānaṃ	noun
evaṃ	demonstrative adverb
bhavissati	verb
'	@quote@
mayaṃ	personal pronoun
kho	emphatic particle
akusalānaṃ	adjective
dhammānaṃ	noun
samādānahetu	noun
evarūpaṃ	adjective
āyataṃ	past passive participle
ñātikkhayaṃ	noun
pattā	past passive participle
.	@point@

Kiṃ	interrogative pronoun
kusalaṃ	noun
kareyyāma	verb
.	@point@

Asītivassasahassāyukesu	adjective
,	@comma@
bhikkhave	noun
,	@comma@
manussesu	noun
imasmiṃ	demonstrative pronoun
jambudīpe	proper noun
caturāsītinagarasahassāni	noun
bhavissanti	verb
ketumatīrājadhānīpamukhāni	adjective
.	@point@

Attamanā	adjective
te	personal pronoun
bhikkhū	noun
bhagavato	noun
bhāsitaṃ	noun
abhinandunti	verb
.	@point@

Ayaṃ	demonstrative pronoun
paṭhamā	ordinal adjective
ādesanavidhā	noun
.	@point@

Ayaṃ	demonstrative pronoun
dutiyā	ordinal adjective
ādesanavidhā	noun
.	@point@

Ayaṃ	pronoun
tatiyā	ordinal adjective
ādesanavidhā	noun
.	@point@

Ayaṃ	demonstrative pronoun
paṭhamā	ordinal adjective
dassanasamāpatti	noun
.	@point@

Atikkamma	absolutive
ca	coordinative conjunciton
purisassa	noun
chavimaṃsalohitaṃ	noun
aṭṭhiṃ	noun
paccavekkhati	verb
.	@point@

Ayaṃ	demonstrative pronoun
dutiyā	ordinal adjective
dassanasamāpatti	noun
.	@point@

Purisassa	noun
ca	coordinative conjunciton
viññāṇasotaṃ	noun
pajānāti	verb
,	@comma@
ubhayato	adjective
abbocchinnaṃ	past passive participle
idha	adverb
loke	noun
patiṭṭhitañca	@sandhi@
patiṭṭhitaṃ	past passive participle
ca	coordinative conjunciton
paraloke	noun
patiṭṭhitañca	@sandhi@
patiṭṭhitaṃ	past passive participle
ca	coordinative conjunciton
.	@point@

etad	demonstrative pronoun
ānuttariyaṃ	noun

Ayaṃ	demonstrative pronoun
tatiyā	ordinal adjective
dassanasamāpatti	noun
.	@point@

Atikkamma	absolutive
ca	coordinative conjunciton
purisassa	noun
chavimaṃsalohitaṃ	noun
aṭṭhiṃ	noun
paccavekkhati	verb
.	@point@

etadānuttariyaṃ	@sandhi@
,	@comma@
bhante	noun
,	@comma@
paṭipadāsu	noun
.	@point@

etad	demonstrative pronoun
ānuttariyaṃ	noun

'	@quote@
'	@quote@
Aparaṃ	adverb
pana	conjunction
,	@comma@
bhante	noun
,	@comma@
etadānuttariyaṃ	@sandhi@
etad	demonstrative pronoun
ānuttariyaṃ	noun
,	@comma@
yathā	adverb
bhagavā	noun
dhammaṃ	noun
deseti	verb
bhassasamācāre	noun
.	@point@

Etadānuttariyaṃ	@sandhi@
etad	demonstrative pronoun
ānuttariyaṃ	noun
,	@comma@
bhante	noun
,	@comma@
bhassasamācāre	noun
.	@point@

